GX,GY,GZ,AX,AY,AZ,timestamp,activity,session_id
2.319,-5.005,-4.211,-1.032,-0.102,0.254,1746797437.187149,hammering,1
4.333,1.526,-4.944,-0.992,-0.047,0.247,1746797437.290959,hammering,1
6.226,4.028,-4.456,-0.99,-0.085,0.292,1746797437.290959,hammering,1
6.348,0.793,-4.211,-0.985,-0.095,0.271,1746797437.398416,hammering,1
7.019,-0.427,-3.723,-1.002,-0.085,0.289,1746797437.463728,hammering,1
4.761,2.319,-3.174,-0.982,-0.098,0.27,1746797437.598102,hammering,1
3.357,-2.38,-5.127,-0.997,-0.092,0.322,1746797437.693759,hammering,1
6.409,4.517,-4.761,-0.943,-0.066,0.288,1746797437.812511,hammering,1
7.202,5.249,-3.235,-0.958,-0.093,0.291,1746797437.914197,hammering,1
7.996,2.38,-3.54,-1.006,-0.082,0.296,1746797437.987904,hammering,1
8.118,4.7,-2.136,-0.967,-0.086,0.3,1746797438.133999,hammering,1
9.216,9.644,-5.859,-0.998,-0.129,0.27,1746797438.232794,hammering,1
13.123,18.433,-1.221,-0.988,-0.094,0.281,1746797438.341422,hammering,1
15.564,28.381,6.348,-1.029,-0.124,0.253,1746797438.521321,hammering,1
20.508,34.058,9.155,-1.016,-0.089,0.199,1746797438.768079,hammering,1
27.344,34.302,-2.258,-1.053,-0.039,0.125,1746797438.768079,hammering,1
12.329,33.875,6.592,-1.028,-0.006,-0.01,1746797438.955468,hammering,1
3.845,8.423,8.118,-1.007,0.04,0.027,1746797438.998746,hammering,1
-2.563,64.819,4.456,-1.04,0.039,-0.008,1746797439.139143,hammering,1
-0.427,31.006,2.563,-1.021,0.01,-0.076,1746797439.247442,hammering,1
-1.343,-0.305,-2.38,-0.992,0.045,-0.074,1746797439.347564,hammering,1
-1.404,-40.955,-12.451,-1.004,0.026,-0.032,1746797439.545218,hammering,1
-1.038,-51.331,-14.771,-1.029,-0.007,0.013,1746797439.545218,hammering,1
3.174,-53.894,-12.024,-0.988,-0.029,0.156,1746797439.652819,hammering,1
5.371,-21.851,-9.521,-1.042,-0.042,0.219,1746797439.780451,hammering,1
13.0,0.61,-3.662,-1.019,-0.094,0.271,1746797439.954769,hammering,1
7.568,-22.034,-4.272,-0.993,-0.073,0.327,1746797439.954769,hammering,1
9.033,-8.301,-9.094,-0.944,-0.015,0.257,1746797440.161691,hammering,1
0.305,2.563,-5.676,-0.972,-0.045,0.322,1746797440.161691,hammering,1
-5.859,0.305,-7.141,-0.985,-0.058,0.299,1746797440.258723,hammering,1
